iso2,name
af,Africâner
ak,Akan
sq,Albanês
am,Amárico
ar,Árabe
hy,Armênio
as,Assamês
az,Azerbaijano
bm,Bambara
eu,Basco
be,Bielorrusso
bn,Bengali
bs,Bósnio
br,Bretão
bg,Búlgaro
my,Birmanês
ca,Catalão
zh,Chinês
kw,Córnico
hr,Croata
cs,Tcheco
da,Dinamarquês
nl,Holandês
dz,Dzonga
en,Inglês
eo,Esperanto
et,Estoniano
ee,Ewe
fo,Feroês
fi,Finlandês
fr,Francês
ff,Fula
gl,Galego
lg,Ganda
ka,Georgiano
de,Alemão
el,Grego
gu,Guzerate
ha,Hauçá
he,Hebraico
hi,Hindi
hu,Húngaro
is,Islandês
ig,Igbo
id,Indonésio
ga,Irlandês
it,Italiano
ja,Japonês
kl,Kalaallisut
kn,Canarês
ks,Caxemira
kk,Cazaque
km,Khmer
ki,Kikuyu
rw,Kinyarwanda
ko,Coreano
ky,Quirguiz
lo,Lao
lv,Letão
ln,Lingala
lt,Lituano
lu,Luba-Katanga
lb,Luxemburguês
mk,Macedônio
mg,Malgaxe
ms,Malaio
ml,Malaiala
mt,Maltês
gv,Manx
mr,Marata
mn,Mongol
ne,Nepalês
nd,"Ndebele do Norte"
se,"Sami do Norte"
no,Norueguês
nb,"Norueguês Bokmål"
nn,"Norueguês Nynorsk"
or,Oriá
om,Oromo
os,Ossético
ps,Pashto
fa,Persa
pl,Polonês
pt,Português
pa,Panjabi
qu,Quíchua
ro,Romeno
rm,Romanche
rn,Rundi
ru,Russo
sg,Sango
gd,"Gaélico Escocês"
sr,Sérvio
sh,Servo-croata
sn,Shona
ii,"Yi de Sichuan"
si,Cingalês
sk,Eslovaco
sl,Esloveno
so,Somali
es,Espanhol
sw,Suaíli
sv,Sueco
tl,Tagalo
ta,Tâmil
te,Telugu
th,Tailandês
bo,Tibetano
ti,Tigrínia
to,Tonganês
tr,Turco
uk,Ucraniano
ur,Urdu
ug,Uigur
uz,Uzbeque
vi,Vietnamita
cy,Galês
fy,"Frísio Ocidental"
yi,Iídiche
yo,Iorubá
zu,Zulu
